,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,predict,evaluation_datetime,fuel,gear,ac,gps,color
34,Land Rover,Civic,  2003_year ,4/29/2003,,126,2,3734,2238,1452,262693,93,,6/27/2018 13:12,Diesel,Manual,Front,Big,purple
35,BMW,CR-V,  2004_year ,1/14/2005,,71,2,3678,2411,1485,94412,52,,6/18/2018 15:47,Benzin,Manual,Manual,,purple
36,Land Rover,Clio,  2014_year ,10/15/2014,,151,2,4280,1802,1391,48547,111,,9/29/2018 11:12,Benzin,Auto_or_Hybrid,Auto,Big,red
37,Fiat,Corsa,  2005_year ,7/1/2005,1,158,2,3635,2225,1820,91345,116,,7/29/2018 12:59,Diesel,Auto_or_Hybrid,Auto,Big,silver
38,Nissan,Duster,  2004_year ,11/14/2003,,81,2,3561,2361,1440,130519,59,,5/11/2018 18:38,Benzin,Manual,Manual,,red
39,Kia,E-Klasse,  2010_year ,11/18/2010,,150,2,3695,2163,1615,61388,110,,7/16/2018 11:24,Benzin,Manual,Manual,Big,silver
40,Mercedes-Benz,Caddy,  2000_year ,4/25/2000,,50,1,3457,2128,1529,64972,37,,9/14/2018 15:49,Benzin,Auto_or_Hybrid,Manual,,red
41,BMW,CR-V,  2004_year ,3/29/2004,,100,2,3497,2079,1485,73710,74,,6/20/2018 10:22,Benzin,Auto_or_Hybrid,Auto,,red
42,Fiat,C-Klasse,  2009_year ,6/30/2009,,188,2,3917,1867,1447,20499,137,,9/21/2018 11:18,Benzin,Auto_or_Hybrid,Auto,Big,brown
43,Citroen,500,  2012_year ,9/28/2012,,118,2,4010,2007,1429,102935,87,,6/2/2018 16:55,Diesel,Manual,Auto,Big,beige
44,Kia,Evoque,  2009_year ,7/28/2009,,100,2,3489,2320,1488,197674,73,,5/15/2018 16:14,Benzin,Manual,Manual,,white
45,Citroen,Fabia,  2011_year ,3/15/2011,,153,2,3680,1884,1573,106218,113,,9/15/2018 16:44,Benzin,Manual,Auto,Big,red
46,Ford,6,  2011_year ,4/5/2011,,105,2,3769,2055,1480,127987,76,,8/31/2018 14:59,Benzin,Manual,Auto,,red
47,Kia,Fiesta,  2006_year ,11/16/2006,,164,2,3515,2306,1645,219424,120,,10/9/2018 14:07,Diesel,Auto_or_Hybrid,Auto,Big,brown
48,Opel,Focus,  2014_year ,9/30/2014,,91,2,3888,2241,1448,46944,67,,9/13/2018 15:18,Benzin,Manual,Manual,Big,black
49,Peugeot,Golf IV,  2010_year ,7/29/2010,,100,2,3855,2094,1645,117350,73,,7/12/2018 10:32,Benzin,Manual,Auto,,white
50,Citroen,207,  2008_year ,6/3/2008,,201,2,3792,2286,1491,275539,148,,6/8/2018 19:00,Diesel,Manual,Auto,Big,red
51,Kia,Evoque,  2001_year ,10/24/2001,,65,2,3516,2200,1440,170873,48,,7/28/2018 15:13,Benzin,Manual,,,purple
52,Porsche,Golf Plus,  2010_year ,7/8/2010,,68,2,3723,2031,1488,109882,49,,5/5/2018 12:49,Benzin,Manual,Manual,,white
53,Citroen,500,  2012_year ,3/21/2013,,174,2,4052,1923,1429,62838,127,,6/10/2018 16:19,Benzin,Auto_or_Hybrid,Auto,,black
54,Nissan,Duster,  2008_year ,3/13/2008,,179,2,3786,2170,1445,162893,132,,6/26/2018 13:45,Benzin,Manual,Auto,,red
55,Kia,Golf V,  2012_year ,5/22/2012,,116,1,3683,2350,1498,139672,86,,9/28/2018 10:05,Diesel,Manual,Auto,Big,purple
56,Land Rover,A5,  2004_year ,11/2/2004,,186,2,3496,2021,1428,194206,137,,6/22/2018 13:27,Benzin,Auto_or_Hybrid,Auto,Big,purple
57,Porsche,Golf VI,  2009_year ,6/5/2009,,98,2,3624,2208,1490,51869,72,,5/18/2018 14:13,Benzin,Manual,Auto,,purple
58,Ford,6,  2007_year ,10/22/2007,,79,2,3614,2139,1480,195717,58,,9/25/2018 15:47,Diesel,Manual,Manual,,brown
59,Fiat,C-Klasse,  2004_year ,10/5/2004,,184,2,3786,2178,1406,96543,136,,9/4/2018 10:22,Benzin,Auto_or_Hybrid,Auto,Big,brown
60,Renault,Golf VII,  2010_year ,6/20/2012,,102,2,3761,1966,1510,82922,74,,5/22/2018 16:30,Benzin,Manual,Manual,,black
61,Peugeot,Golf IV,  2008_year ,3/12/2009,,154,2,3722,2098,1645,229187,113,,6/17/2018 15:52,Diesel,Manual,Auto,,red
62,Kia,A4,  2010_year ,1/6/2011,,110,2,3570,2287,1535,85779,81,,10/5/2018 12:00,Benzin,Manual,Auto,,white
63,Porsche,Golf Plus,  2010_year ,12/29/2010,,61,2,3762,2192,1488,63104,45,,7/8/2018 15:08,Benzin,Manual,Manual,Mobile,red
64,Citroen,207,  2009_year ,2/18/2009,,176,2,3777,2093,1468,149812,129,,4/28/2018 14:48,Diesel,Auto_or_Hybrid,Auto,,brown
65,Seat,Grande Punto,  2014_year ,3/24/2014,,187,2,4144,1917,1547,107923,138,,7/7/2018 16:18,Diesel,Auto_or_Hybrid,Auto,,brown
66,Peugeot,Golf IV,  2008_year ,11/17/2008,,154,2,3884,2055,1645,122850,114,,4/25/2018 15:37,Benzin,Auto_or_Hybrid,Auto,,red
67,Opel,Ibiza,  2009_year ,7/30/2009,,119,2,3502,2127,1423,166512,88,,5/4/2018 12:42,Benzin,Manual,Manual,,white
68,BMW,Insignia,  2004_year ,10/6/2004,,152,2,3690,2382,1498,209677,112,,7/8/2018 10:16,Diesel,Manual,Auto,Big,red
69,Dacia,Kuga,  2008_year ,1/12/2009,,159,2,3447,2415,1455,289279,117,,8/1/2018 11:02,Diesel,Manual,Auto,Big,red
70,Kia,E-Klasse,  2005_year ,5/10/2005,,89,2,3571,2179,1624,81675,66,,6/15/2018 12:55,Benzin,Auto_or_Hybrid,Manual,,silver
71,Land Rover,A5,  2008_year ,10/30/2008,1,258,2,3747,2094,1391,202658,190,,8/28/2018 13:19,Diesel,Auto_or_Hybrid,Auto,Big,red
72,Seat,Leon,  2003_year ,12/30/2002,1,240,1,3474,2371,1743,146091,176,,9/25/2018 10:43,Benzin,Auto_or_Hybrid,Manual,Big,red
73,Fiat,C5,  2013_year ,6/27/2013,,154,1,4107,1963,1456,78581,113,,10/1/2018 17:21,Diesel,Auto_or_Hybrid,Auto,Big,white
74,Land Rover,A5,  2005_year ,4/5/2005,1,219,2,3455,2220,1427,363933,160,,6/1/2018 16:11,Diesel,Manual,Auto,Big,brown
75,Citroen,M-Klasse,  2010_year ,5/7/2010,,99,1,3494,2090,1421,201925,73,,8/29/2018 14:41,Diesel,Manual,Auto,,red
76,Land Rover,Civic,  2011_year ,12/14/2011,,172,2,4007,2106,1461,93787,126,,6/12/2018 16:03,Diesel,Manual,Auto,Big,red
77,Dacia,307,  2009_year ,4/20/2009,,85,2,3713,2210,1498,110445,63,,5/8/2018 17:46,Benzin,Manual,Manual,,red
78,Skoda,MINI,  2007_year ,2/22/2007,,118,2,3777,2338,1615,133684,87,,9/15/2018 12:59,Benzin,Manual,Manual,,brown
79,Citroen,207,  2009_year ,4/2/2009,,308,2,3935,2186,1491,152416,226,,7/23/2018 18:47,Benzin,Auto_or_Hybrid,Auto,Big,brown
80,Fiat,C5,  2000_year ,5/17/2000,,179,1,3630,2110,1440,120103,131,,8/25/2018 9:26,Benzin,Auto_or_Hybrid,Manual,,purple
81,Citroen,M-Klasse,  2006_year ,12/22/2006,,114,1,3627,2271,1430,152816,85,,8/22/2018 14:00,Benzin,Manual,Auto,,red
82,BMW,5,  2009_year ,5/4/2009,,115,1,3485,2307,1635,182973,84,,8/7/2018 16:20,Diesel,Manual,Auto,Big,brown
83,Audi,1er,  2003_year ,8/5/2004,,114,2,3407,2184,1532,246767,84,,9/20/2018 9:07,Benzin,Manual,Manual,,red
84,Kia,A4,  2006_year ,2/9/2006,,77,1,3611,2073,1460,150423,57,,5/27/2018 14:08,Benzin,Manual,Manual,,red
85,Land Rover,Clio,  2009_year ,10/21/2009,,218,2,3937,1858,1383,144719,160,,7/10/2018 15:30,Diesel,Auto_or_Hybrid,Auto,Big,purple
86,Citroen,500,  2006_year ,3/20/2006,,,2,3576,2192,1440,414327,105,,6/23/2018 17:52,Diesel,Manual,Auto,,brown
87,BMW,Megane,  2014_year ,3/5/2014,,241,2,4168,1901,1452,53343,177,,8/18/2018 16:33,Benzin,Auto_or_Hybrid,Auto,Big,red
88,Land Rover,C-Max,  2000_year ,11/10/2000,,140,2,3567,2268,1427,161013,103,,6/14/2018 17:30,Benzin,Auto_or_Hybrid,Auto,,red
89,Citroen,M-Klasse,  2007_year ,11/28/2007,,127,2,3466,2067,1421,216231,93,,7/2/2018 14:01,Benzin,Manual,Auto,Big,red
90,Citroen,207,  2007_year ,4/23/2007,,160,2,3572,2322,1491,166615,118,,9/27/2018 14:30,Diesel,Auto_or_Hybrid,Auto,Big,brown
91,Hyundai,Meriva,  2006_year ,10/5/2006,,91,2,3754,2092,1530,,67,,10/14/2018 11:22,Benzin,Auto_or_Hybrid,Manual,,brown
92,Audi,Avensis,  2005_year ,10/24/2005,,111,2,3642,2118,1427,202589,82,,4/13/2018 9:47,Diesel,Manual,Auto,,brown
93,BMW,CR-V,  2007_year ,7/6/2007,,100,1,3752,2203,1485,232965,74,,6/8/2018 10:04,Benzin,Manual,Manual,,purple
94,BMW,Insignia,  2007_year ,1/31/2007,,144,2,3514,2184,1472,189288,106,,8/24/2018 15:48,Diesel,Manual,Auto,Big,red
95,Citroen,M-Klasse,  2007_year ,2/13/2007,,146,1,3883,2034,1430,81391,106,,5/13/2018 11:37,Benzin,Auto_or_Hybrid,Auto,,gray
96,Citroen,B-Klasse,  2007_year ,12/29/2006,1,227,2,3665,2018,1766,304204,167,,4/22/2018 10:04,Diesel,Auto_or_Hybrid,Auto,Big,red
97,Citroen,207,  2012_year ,4/3/2012,1,224,2,3778,1877,1559,175526,165,,9/1/2018 12:17,Diesel,Auto_or_Hybrid,Auto,Big,purple
98,Fiat,C5,  2009_year ,11/23/2009,,133,2,3975,2200,1464,167594,98,,6/16/2018 17:27,Diesel,Manual,Auto,Big,brown
99,Fiat,C-Klasse,  2003_year ,5/12/2003,,124,2,3502,2350,1406,205730,91,,9/28/2018 19:42,Benzin,Manual,Auto,,silver
100,Kia,A4,  2004_year ,12/15/2004,,115,2,3661,2200,1460,172084,84,,7/20/2018 11:48,Benzin,Manual,Manual,,red
101,Citroen,500,  2001_year ,5/28/2001,,187,2,3483,2313,1415,155825,137,,8/23/2018 15:57,Benzin,Manual,Auto,,purple
102,Fiat,C5,  2003_year ,4/15/2003,,167,2,3679,2290,1450,158963,123,,6/27/2018 19:25,??,Auto_or_Hybrid,Auto,,silver
103,Peugeot,Golf IV,  2011_year ,12/8/2011,1,143,2,3908,1972,1615,146453,105,,7/17/2018 12:35,Diesel,Auto_or_Hybrid,Auto,Big,gray
104,BMW,Mondeo,  2007_year ,2/15/2007,,153,2,3553,2412,1730,269455,112,,9/4/2018 8:34,Diesel,Manual,Auto,Big,red
105,Honda,911,  2008_year ,3/3/2009,,112,2,3648,2369,1527,198279,81,,7/10/2018 18:46,Diesel,Manual,Manual,,brown
106,Fiat,Octavia,  2004_year ,2/10/2004,,137,2,3478,2092,1589,104794,101,,9/11/2018 10:27,Benzin,Auto_or_Hybrid,Manual,,silver
107,Land Rover,A5,  2005_year ,12/9/2005,,208,2,3726,2033,1427,154818,153,,8/19/2018 9:01,Benzin,Auto_or_Hybrid,Auto,Mobile,red
108,Audi,Passat,  2009_year ,3/10/2009,,89,2,3588,2025,1481,71945,65,,6/7/2018 9:26,Benzin,Manual,Manual,,red
109,Dacia,307,  2008_year ,2/29/2008,,72,2,3536,2034,1498,87947,,,5/31/2018 10:43,Benzin,Manual,Manual,,purple
110,BMW,5,  2008_year ,5/14/2008,,102,2,3595,2287,1635,174158,75,,9/27/2018 12:33,Diesel,Manual,Auto,Big,silver
111,Land Rover,A5,  2005_year ,7/12/2005,,148,2,3583,2144,1428,119460,109,,9/11/2018 16:59,Benzin,Manual,Auto,,red
112,Citroen,207,  2006_year ,5/22/2006,,233,2,3753,2338,1491,363900,172,,6/9/2018 9:27,Diesel,Auto_or_Hybrid,Auto,Big,red
113,Fiat,Octavia,  2001_year ,2/12/2001,,62,2,3511,2361,1575,161896,45,,4/28/2018 14:37,Diesel,Manual,Manual,,brown
114,Dacia,Kuga,  2007_year ,3/13/2007,,183,2,3651,2175,1451,95108,135,,7/11/2018 16:23,Benzin,Manual,Auto,,purple
115,Dacia,Kuga,  2007_year ,1/23/2008,,109,2,3619,2276,1455,220698,80,,8/22/2018 10:14,Diesel,Manual,Auto,,purple
116,Fiat,C-Klasse,  2007_year ,12/3/2007,,138,2,3658,1937,1447,105124,102,,5/19/2018 17:34,Diesel,Auto_or_Hybrid,Auto,,brown
117,Land Rover,A5,  2006_year ,7/11/2006,,127,2,3718,2117,1427,168797,93,,6/30/2018 15:27,Diesel,Auto_or_Hybrid,Auto,,brown
118,Citroen,500,  2006_year ,11/9/2006,,113,2,3852,2230,1420,155390,82,,6/7/2018 16:17,Benzin,Auto_or_Hybrid,Auto,Big,purple
119,Land Rover,A5,  2001_year ,7/10/2001,,134,2,3546,2018,1428,256655,99,,6/8/2018 11:45,Benzin,Auto_or_Hybrid,Auto,,red
120,Citroen,M-Klasse,  2011_year ,10/26/2011,,200,2,3943,1902,1421,143577,146,,5/11/2018 12:27,Diesel,Manual,Auto,,white
121,Dacia,307,  2013_year ,5/2/2013,,86,2,3765,2284,1498,24711,63,,4/19/2018 13:14,Benzin,Manual,Manual,,purple
122,BMW,Polo,  2010_year ,4/29/2010,,96,2,3564,2242,1621,125574,71,,5/22/2018 9:21,Benzin,Auto_or_Hybrid,Manual,,brown
123,Citroen,500,  2008_year ,10/24/2008,,229,2,3835,2022,1421,189670,168,,8/29/2018 9:23,Benzin,Auto_or_Hybrid,Auto,Big,brown
124,Seat,Grande Punto,  2005_year ,9/13/2005,,109,2,3650,2272,1488,149912,81,,9/21/2018 15:46,Diesel,Manual,Auto,Big,red
125,Smart,Punto,  2014_year ,9/23/2014,,167,2,4007,2140,1414,60266,123,,10/22/2018 10:35,Diesel,Manual,Manual,Big,yellow
126,Citroen,Fabia,  2011_year ,6/22/2011,1,129,2,3972,2007,1545,138052,94,,7/8/2018 12:28,Diesel,Manual,Auto,,red
127,Citroen,500,  2011_year ,8/3/2011,,186,2,3831,1879,1418,156419,136,,7/11/2018 15:14,Diesel,Manual,Auto,Big,white
128,Kia,A4,  2002_year ,8/29/2002,,134,2,3698,2439,1390,144655,98,,6/23/2018 13:27,Benzin,Manual,Manual,,silver
129,Land Rover,Civic,  2002_year ,4/15/2003,1,164,1,3681,2154,1453,134216,121,,4/24/2018 11:23,Benzin,Manual,Auto,,purple
130,Opel,Focus,  2016_year ,1/31/2017,,190,2,3988,1842,1448,53456,140,,7/30/2018 13:23,Benzin,Auto_or_Hybrid,Manual,Big,red
131,Fiat,5er,  2008_year ,3/28/2008,,131,2,3839,2097,1603,70285,97,,8/1/2018 14:29,Benzin,Auto_or_Hybrid,Auto,,brown
132,BMW,Q5,  2011_year ,6/14/2011,,105,2,3658,2260,1480,89843,77,,6/11/2018 12:44,Diesel,Manual,Auto,Big,red
133,BMW,Insignia,  2009_year ,9/24/2009,,169,2,3978,1986,1517,80573,124,,6/16/2018 10:19,Diesel,Manual,Auto,Big,brown
134,Suzuki,Q7,  2009_year ,10/5/2009,,135,2,3743,2068,1495,274440,99,,9/21/2018 15:51,Benzin,Auto_or_Hybrid,Auto,Big,red
135,Citroen,207,  2007_year ,3/25/2008,,195,2,3560,2030,1491,141638,143,,5/8/2018 10:19,Diesel,Auto_or_Hybrid,Auto,Big,brown
136,Land Rover,Civic,  2005_year ,10/20/2005,,158,2,3574,2410,1463,188014,116,,9/4/2018 14:21,Benzin,Manual,Auto,,red
137,Kia,A4,  2005_year ,7/19/2005,,125,2,3627,2093,1500,242090,92,,7/13/2018 9:57,Benzin,Manual,Manual,Big,brown
138,Citroen,207,  2007_year ,11/15/2007,1,171,2,3565,2172,1491,151783,126,,8/18/2018 16:24,Diesel,Auto_or_Hybrid,Auto,Big,red
139,Seat,Leon,  2008_year ,5/27/2008,1,142,2,3595,2295,1743,151201,105,,7/6/2018 14:56,Diesel,Auto_or_Hybrid,Auto,Big,brown
140,Citroen,Qashqai,  2005_year ,12/14/2005,1,153,2,3647,2024,1674,153816,112,,4/15/2018 16:08,Diesel,Manual,Auto,,brown
141,Dacia,307,  2007_year ,12/14/2007,,87,2,3579,2400,1498,90815,64,,7/15/2018 18:39,Benzin,Manual,Manual,,black
142,Audi,RAV 4,  2011_year ,1/1/2011,1,156,1,3692,2341,1677,170657,115,,10/2/2018 9:37,Diesel,Manual,Front,,brown
143,BMW,CR-V,  2006_year ,10/19/2006,,107,2,3536,2373,1479,231455,78,,8/5/2018 12:29,Diesel,Manual,Auto,Big,silver
144,Citroen,500,  2010_year ,7/7/2010,,211,2,3586,2029,1418,188155,154,,8/6/2018 14:51,Diesel,Manual,Auto,Big,brown
145,Citroen,207,  2011_year ,9/12/2011,,160,1,3925,2128,1462,159947,117,,5/23/2018 18:18,Diesel,Auto_or_Hybrid,Auto,Big,red
146,Land Rover,Civic,  2004_year ,4/13/2004,,143,2,3576,2352,1453,269460,106,,10/21/2018 10:22,Diesel,Manual,Auto,Big,purple
147,Citroen,500,  2005_year ,1/19/2006,,112,2,3544,2397,1420,130780,82,,9/25/2018 14:29,Benzin,Manual,Manual,,purple
148,Fiat,Octavia,  2008_year ,4/14/2008,,104,2,3591,2043,1593,79458,77,,4/19/2018 9:29,Benzin,Manual,Manual,,purple
149,Fiat,Corsa,  2006_year ,11/17/2006,1,516,3,3952,2147,1815,206334,380,,8/29/2018 10:39,Benzin,Auto_or_Hybrid,??,Big,red
150,Toyota,S 60,  2011_year ,5/3/2011,,130,2,3570,2072,1458,121907,96,,6/1/2018 17:31,Benzin,Manual,Auto,Big,white
151,Audi,Sharan,  2008_year ,7/24/2008,,108,2,3501,2057,1596,203070,79,,9/3/2018 12:20,Benzin,Manual,Auto,,red
152,Toyota,S 60,  2011_year ,12/29/2011,,142,2,3567,2109,1458,72710,104,,7/9/2018 18:57,Benzin,Manual,Auto,Big,purple
153,Citroen,M-Klasse,  2006_year ,10/17/2006,,135,1,3731,2336,1430,305176,99,,6/14/2018 17:02,Diesel,Manual,Auto,Big,red
154,BMW,Insignia,  2010_year ,1/31/2011,,131,2,3830,2122,1516,188805,97,,6/28/2018 16:44,Diesel,Manual,Auto,Big,red
155,BMW,CR-V,  2004_year ,4/6/2004,,89,2,3703,2227,1485,213369,65,,7/10/2018 14:58,Benzin,Manual,Auto,Big,purple
156,Fiat,C-Klasse,  2001_year ,8/2/2001,,117,2,3652,2454,1426,92262,86,,5/7/2018 12:35,Benzin,Manual,Auto,,brown
157,Audi,1er,  2007_year ,9/19/2007,,98,2,3633,2190,1501,216818,71,,6/14/2018 16:50,Diesel,Manual,Manual,,silver
158,BMW,??,  2007_year ,11/27/2007,,90,2,3598,2265,1485,166706,67,,6/18/2018 13:56,Benzin,Manual,Manual,,red
159,Hyundai,Meriva,  2004_year ,3/14/2005,,65,3,3633,2169,1500,121801,48,,8/6/2018 9:21,Benzin,Manual,Manual,,brown
160,Land Rover,Civic,  2011_year ,7/19/2011,,189,2,3760,1982,1455,186191,139,,7/13/2018 17:04,Benzin,Auto_or_Hybrid,Auto,Big,red
161,Land Rover,C-Max,  2006_year ,11/1/2006,,134,2,3652,2299,1423,306044,99,,9/7/2018 13:00,Diesel,Manual,Auto,,brown
162,Honda,911,  2009_year ,3/11/2009,,138,2,3778,2362,1472,83223,101,,7/16/2018 13:54,Benzin,Auto_or_Hybrid,Manual,,brown
163,Nissan,Superb,  2012_year ,8/29/2012,1,158,1,3923,2052,1675,53680,116,,5/23/2018 8:48,Benzin,Manual,Auto,Small,red
164,BMW,Q5,  2012_year ,11/26/2012,,182,2,3778,2195,1480,93242,134,,8/30/2018 14:04,Benzin,Auto_or_Hybrid,Auto,Big,brown
165,Audi,1er,  2007_year ,4/2/2007,,98,1,3486,2055,1501,295414,71,,8/2/2018 14:50,Diesel,Manual,Manual,,brown
166,BMW,3er,  2002_year ,1/28/2003,,96,2,3608,2115,1444,434821,71,,5/17/2018 15:24,Diesel,Manual,Manual,,red
167,Land Rover,A5,  2006_year ,4/7/2006,1,203,2,3709,2195,1427,197539,149,,4/15/2018 12:57,Benzin,Auto_or_Hybrid,Auto,,red
168,Fiat,C5,  2013_year ,10/9/2013,,183,2,4458,1679,1475,43545,135,,7/1/2018 14:25,Benzin,Auto_or_Hybrid,Auto,Big,red
169,Seat,Grande Punto,  2006_year ,2/28/2006,,139,3,3559,2098,1488,217407,102,,9/16/2018 11:36,Diesel,Auto_or_Hybrid,Auto,Mobile,silver
170,BMW,CR-V,  2004_year ,11/29/2004,,107,2,3706,2220,1485,90435,79,,6/22/2018 15:33,Benzin,Manual,Auto,,black
171,BMW,Insignia,  2007_year ,4/2/2007,,156,2,3695,1963,1472,110672,115,,6/28/2018 11:37,Benzin,Manual,Auto,Big,silver
172,BMW,Polo,  2010_year ,12/16/2010,,119,2,3923,2013,1621,43671,88,,6/29/2018 12:05,Benzin,Auto_or_Hybrid,Auto,,gray
173,Fiat,Octavia,  2014_year ,6/17/2014,,122,2,4048,1983,1433,25454,90,,6/3/2018 14:01,Benzin,Auto_or_Hybrid,Manual,Big,silver
174,Land Rover,A5,  2007_year ,4/19/2007,,99,1,3699,2194,1428,140775,73,,4/23/2018 16:58,Benzin,Manual,Auto,Small,brown
175,Hyundai,Meriva,  2006_year ,5/24/2006,,75,2,3638,2400,1530,151132,55,,9/12/2018 16:29,Benzin,Manual,Manual,,brown
176,Mazda,C4,  2012_year ,1/24/2012,,100,2,3786,2224,1695,120423,73,,6/22/2018 18:48,Benzin,Manual,Manual,,red
177,Fiat,5er,  2008_year ,12/10/2008,,122,2,3933,2088,1604,102028,90,,6/22/2018 9:53,Benzin,Auto_or_Hybrid,Auto,Big,brown
178,Fiat,C-Klasse,  2007_year ,11/21/2007,,163,2,3542,2343,1459,213723,119,,5/30/2018 11:17,Benzin,Manual,Auto,,brown
179,Kia,A6,  2002_year ,8/12/2002,,139,2,3422,2355,1460,134068,102,,7/19/2018 10:09,Benzin,Manual,Manual,,brown
180,Seat,Swift,  2010_year ,1/31/2011,,168,2,3908,2004,1484,247372,124,,6/14/2018 14:32,Diesel,Manual,Auto,Big,gray
